Nombre Completo,Pago
Oswaldo,Ochoa,1949.4
Marcos,Mar,9865.519999999999
Luis,Ascencio,4057.2000000000003
Juan,Pinto,150.06
Guillermo,Romero,2888.9
Guillermo,Figueroa,2614.85
Daniel,González,3012.64
Jorge,Nieto,688.6
Ignacio,Alcantara,1023.4000000000001
Luis,Villarreal,779.2800000000001
José,Gutíerrez,3483.0
Irania,Martínez,847.3400000000001
Abraham,Vázquez,1461.88
Carlos,Plancarte,2695.11
Natalia,Zárate,2837.13
Fernando,Barba,2923.2
Paúl,Valdez,1111.0
Eduardo,Bautista,1469.69
Guillermo,Ayon,827.64
Ericka,García,5666.56
Lina,Cruz,6827.46
Mary,Marcos,2369.46
Horacio,Virissimo,2313.63
Maximiliano,Gutiérrez,7513.32
Andrea,Ortiz,1562.3999999999999
Elizabeth,Estrada,1027.19
Héctor,Orta,3927.56
Oscar,López,3687.6
Daniel,Delgado,1589.04
Ana,Castellanos,5310.8
Daniela,Barbosa,9015.27
Jacqueline,Felfoldy,2430.4
Karl,Caraveo,6231.42
Ana,Dumois,2105.48
Sofía,García,3561.84
Abraham,Orozco,604.01
Andrea,Herrera,2731.0600000000004
Carlos,Bueno,616.2800000000001
Luis,Chávez,4848.660000000001
Edgar,Morentin,4846.8
Ricardo,Ochoa,1647.8000000000002
Héctor,Baldizón,1769.25
Adrián,Juárez,3291.2000000000003
Rosa,Mendoza,6477.839999999999
Tuareg,Venegas,7574.5199999999995
Noel,Carrillo,430.16
Marco,Huerta,2947.35
Yolanda,García,2969.56
Carlos,Aguilar,950.4
Ariadna,Calderón,1100.3999999999999
Jaime,Ruiz,439.6
Verónica,Rico,409.2
Alfredo,González,2640.3300000000004
Juan,Sauceda,785.55
María,Brito,2773.26
Miguel,Bauche,210.06
Gabriela,Mejía,1723.4999999999998
Pablo,Moreno,702.15
Pablo,Lamas,4271.3
Marilú,Gutiérrez,1925.49
Jorge,Lozano,4638.3
Danaé,Rodríguez,2272.4
José,Sánchez,5268.9
Jorge,García,2349.12
María,García,4450.32
Josué,Plascencia,620.5999999999999
Claudia,Villagomez,3250.2000000000003
Oscar,Hiraiwa,1071.28
Artabán,Limas,890.34
Antonio,Madrigal,5085.71
Marina,Novelo,3456.0
Martha,Gomez,4904.28
Diamond,Fuentes,1589.22
María,Melo,1358.07
José,Hernández,2862.2
Valeriano,Yerena,2982.54
Manuel,González,9039.24
Rafael,Reyes,638.02
Gilberto,Bessoudo,7425.599999999999
Carlos,Gutiérrez,3453.0299999999997
Ximena,Ramírez,3705.66
Brenda,Galindo,3127.8
Alberto,Aguilar,3001.11
Nélida,Lim,1659.4199999999998
Jorge,Sánchez,1766.6
Diego,González,1364.0
Monica,Aguilar,660.0
Aizury,Rodríguez,2609.16
Silvia,Soto,450.12
Luis,González,5080.92
Montserrat,Corona,1702.21
Victor,Alvarez,2123.16
Naiv,López,3016.96
Gerónimo,Luque,1190.28
William,Moya,3847.5
Alina,Ramos,2866.6
José,Fajardo,2134.27
Carlos,Fuentevilla,2059.2
Jorge,Valencia,4957.29
Abraham,Peña,829.7099999999999
Luis,Honegger,2033.4599999999998
Jesús,Honegger,771.9
Adriana,Martínez,3687.14
Danira,Vega,344.84999999999997
Isalid,Vega,1498.04
Jessica,Magaña,555.94
Jennifer,Ochoa,5444.46
Miguel,Martínez,1797.75
Edgar,Zapién,7694.0
Melina,García,18.56
Alfonso,Rocha,4974.0
Ana,Carrasco,398.6
Yulé,Castro,3926.16
Salvador,Morán,2836.86
Rocío,Cárdenas,3665.02
Oscar,Rodríguez,2583.75
José,Amador,491.52
Juan,Hernández,2130.24
José,Aguirre,1236.8999999999999
Rogelio,Díaz,100.8
Edgar,Varela,1152.6000000000001
Mauricio,Murillo,2268.69
Luis,Hernández,6600.88
Omar,Doddoli,1784.0800000000002
Luís,Gallegos,3095.42
Jesús,Contreras,2163.7000000000003
Paola,Escobar,2346.2400000000002
Paola,Tejeda,2106.7599999999998
Yetlanezi,Silerio,5507.15
Alberto,Sarabia,4650.18
Laura,Alarcón,4734.0
Edgar,Gaytán,1509.4899999999998
Ashanti,Ortega,3161.2
Montserrat,Cavazos,1896.1599999999999
Omar,Alarcón,1540.98
Priscilla,González,4885.5
Mónica,Vázquez,4173.54
Ignacio,Vázquez,1486.5900000000001
Gustavo,Durán,3309.7999999999997
Daniela,Vega,2315.9100000000003
Aldo,Martínez,2705.2
Ricardo,Domenzain,6681.5
Martha,Zárate,1354.56
Diana,Orozco,987.0
Harold,Vargas,6405.84
José,Soaje,3351.83
Cinthya,Revilla,1220.8
Daniela,Zamora,1993.6000000000001
Amelia,Flores,2152.5
Ivan,Quirino,2831.54
Amílcar,Gutiérrez,917.1300000000001
Rodolfo,Méndez,8937.32
Margarita,Elkan,972.66
Manuel,Muciño,2926.7599999999998
Mario,Leal,1463.8600000000001
Luis,Leal,1914.0
Francisco,Ramírez,2385.04
Nancy,Ferretiz,3257.76
Luis,Avila,806.04
Francisco,Acero,7063.68
Adriana,Jiménez,1720.0
Gerson,Luna,486.57
Estefanía,Gaytán,1461.42
Javier,Avila,8021.02
Pamela,González,2607.9300000000003
Fabiola,Sifuentes,13.120000000000001
Sofía,Zamora,6175.08
Mauricio,Martínez,3510.0099999999998
Carlos,Martínez,3103.92
Sergio,Rangel,517.29
Rafael,Peña,1445.14
Gerardo,Reyes,1509.1999999999998
Jorge,Hernández,31.96
Alejandra,Rivera,734.14
Cristina,Herrera,4067.42
Ricardo,Pérez,2368.32
Karina,Mejorada,2247.9
Victor,Hernández,3624.04
Adriana,Pérez,1012.83
Paola,Uribe,358.19
Vania,Toledo,791.1999999999999
Moisés,Acosta,5622.24
Victor,Silva,6495.3
Leonardo,Jaime,2550.7200000000003
Justino,Ortega,6037.74
Alivsi,Lau,2191.86
Manuel,Yerenas,1757.66
Emmanuel,Maya,288.64
Andrés,Jiménez,4013.55
Ana,Castro,3016.44
Alvaro,Babún,1339.92
Leoncio,Gutiérrez,4083.75
Nubia,Mares,1660.05
Darius,Papadakis,1837.6
Juan,Escalera,1235.6
Carlos,Reyes,2417.04
Teresa,Ángel,1383.84
Alexandra,Mora,8114.0
Valeria,Cortés,418.95
Elia,Salas,1303.02
Héctor,Carrillo,1104.23
Isis,Pérez,5343.68
Felipe,Reyes,2452.7999999999997
María,Aguirre,6101.889999999999
Fernando,García,2857.14
Yarishdy,Martínez,3082.7
Edgar,Hernández,8202.44
Carmen,Charcas,436.96
Daniel,Rodulfo,684.76
Oscar,Gurrola,1133.55
Mirna,Castro,2758.3900000000003
Flavio,Arellano,6411.0
Antonio,Ortega,2208.06
Alejandro,Salgado,1756.3200000000002
Diego,García,3593.2400000000002
Claudia,Santoyo,183.60999999999999
Violeta,González,4209.6
Santiago,Nava,5678.759999999999
Zaira,Morales,3668.8600000000006
Griselda,Aguirre,4783.4400000000005
Jaime,Jaramillo,2847.6
Edwin,Mora,1383.48
Dulce,Adem,1131.57
Sergio,Bisteni,2069.5499999999997
Andres,Bernal,1657.6499999999999
David,Ortiz,2380.56
Francisco,Madariaga,7677.320000000001
Ana,Maldonado,4412.650000000001
Alfonso,Cuevas,3562.12
Jennitzzia,Salas,4479.72
David,Ramírez,1164.8
Eduardo,Tapia,2612.7999999999997
Benito,Díaz,1794.5
Paulina,Pereyra,1484.5
Alfredo,Ramírez,1935.12
Jorge,López,3579.6
María,Arellano,2127.06
Ricardo,García,3165.06
Mario,Hernández,5339.76
Carlos,Pérez,8929.099999999999
Héctor,Jiménez,7667.579999999999
Ricardo,Castro,2282.42
Ricardo,Ramírez,1302.88
Luis,Romo,620.33
José,Marín,9155.34
Rafael,Hernández,7541.88
Yessica,Salazar,3298.19
Diego,Sánchez,608.04
Lilia,Andrade,5069.900000000001
Gabriel,Rico,410.75
Juan,Martínez,3691.86
Alejandro,Tinajero,2525.2000000000003
Andrea,Sarmiento,1434.7199999999998
Rosauro,Pizarro,5871.63
Ivette,Salgueiro,901.14
Mariana,González,2076.9
Diego,Navarro,1643.93
Andrea,Herrera,736.29
Antonio,Torres,559.7199999999999
Carolina,Morales,1399.8
Enríque,Enríquez,4070.64
Ana,Viornery,8555.5
Lourdes,Nava,3017.1400000000003
Gustavo,Cámara,3458.7
Ana,Schermer,2615.5499999999997
Dario,Ayala,1023.5
José,Riquelme,1287.24
Estefania,Lópezvictoria,2255.2200000000003
Kritzia,Sol,47.879999999999995
Miguel,Coello,1174.68
Carlos,Molina,3794.31
Vanesa,Penagos,6413.0
Luis,García,1043.74
José,Ahumada,3715.18
Gerardo,Arias,654.6
Rafael,Heredia,1108.56
Alejandra,Chávez,3973.4100000000003
Omar,Arias,3398.56
Francisco,Ochoa,541.61
Jimena,Calderón,726.8000000000001
Carlos,Bucio,1354.32
Diblaín,Garcia,2726.08
Andrés,Cuahonte,2907.84
Angel,Hernández,4673.299999999999
Francisco,López,363.46
Jorge,Espinosa,5208.3099999999995
Sergio,Aguilar,3799.6399999999994
Graciela,Badillo,4746.280000000001
Arturo,Ruiz,3734.11
Paulina,Roa,1596.48
Sandra,Martínez,2523.96
Carolina,Vaca,4701.88
Javier,Rioja,1283.22
Omar,Reyes,1299.06
Iván,Venegas,1090.6
Erika,Torres,9040.199999999999
Ana,Ruiz,1472.64
Fernando,Barrios,955.53
Enrique,Conde,1738.8799999999999
Isabel,García,3504.5499999999997
Cecilia,Flores,436.48
Alejandro,Pérez,812.15
Luis,Quintana,3884.84
Daniel,Orozco,608.7199999999999
Joel,Dueñas,3746.0
Miguel,Estrella,2704.5
Christopher,Zavala,7069.72
Ernesto,Alcántara,1659.21
Julio,Ayala,2265.6
Mireya,Arceo,3207.7999999999997
Luis,Corona,2751.2000000000003
Jorge,Parra,5824.2
Miriam,Solis,625.1
Eduardo,Ramos,3051.72
José,Pineda,2424.3999999999996
César,Méndez,7627.799999999999
Perla,Zuñiga,1917.43
Daniela,Cedano,1374.1200000000001
María,Hermosillo,958.44
Joshua,Wulfert,3440.1899999999996
Juan,López,1581.84
Alberto,Gómez,528.88
Luis,Rodríguez,828.24
Guillermo,Escobedo,1508.64
Ana,Figueroa,3615.0
Bernardo,López,4270.05
Jessika,García,467.21999999999997
Luis,Pelayo,3735.2
Adriana,Muñoz,6079.95
Edgardo,Castellanos,954.5
David,Ochoa,2041.65
Juan,Rangel,4185.0
José,Meli,326.91
Rodrigo,González,2311.65
Jorge,Domínguez,2047.44
Luis,Hinrichsen,2838.49
Irma,Ramos,4395.61
Heinrich,Ruíz,1366.04
Beatriz,Manterola,5730.36
Manuel,Kessler,4474.08
J.,Pérez,4124.8
Arturo,Palacio,2363.2400000000002
Luis,Domínguez,4062.5899999999997
Saúl,Anaya,684.32
Bruno,Lazcano,5502.0
Alma,Hernández,1824.1
Omar,Siordia,2083.86
Lorenzo,Romano,325.21
María,Mariscal,7699.5
Irma,Arrizón,72.66
Marco,García,2864.75
Salvatore,Guerra,8004.08
Víctor,González,623.8799999999999
Luis,Chayeb,3285.4700000000003
Héctor,Rentería,4107.48
Santiago,Obregón,3949.77
Stefanie,Soto,1584.74
Andrés,Balmori,2904.44
Moisés,Gómez,1510.56
Diana,Morales,3659.8
Brenda,Lara,1885.4499999999998
Ana,Zavala,233.70000000000002
Priscila,Romero,5933.7
Anna,Ybarra,2241.7
Christian,Inzunza,2421.1
Israel,Arriola,2017.24
Jorge,Castorena,787.0799999999999
Diego,Cortes,1949.9
Yvette,Ibarra,1322.8600000000001
Karla,Arias,7276.2
Hanz,Chávez,5979.65
Victoria,Serur,1862.52
Víctor,García,4563.59
Elsa,Lomelí,2909.72
Fernanda,Estrada,1699.8
Alejandra,Olvera,1809.7800000000002
Karim,Monroy,1033.62
Florentino,López,1535.96
Gabriel,Aldrete,977.28
José,González,1089.46
Jose,Jacobo,1312.0
Héctor,Quevedo,1688.3999999999999
Joaquín,Becerril,2155.45
Fernando,Palomera,1783.25
Joyce,Lepe,4685.45
José,Pelayo,715.52
Jorge,Mercado,2010.5800000000002
Zabdy,Alvarez,6779.24
Roberto,Baruqui,1273.44
Arturo,Amezcua,47.88
Samuel,Mendoza,2647.06
Jorge,Zurita,1952.8600000000001
Damaris,Fuenzalida,369.37
Ricardo,Reyes,333.06
Ricardo,Mercado,883.0500000000001
Raúl,Lizárraga,1285.92
Diego,García,1795.6
Paula,Molina,1965.12
Diego,Hurtado,1722.08
Andrea,Curzio,478.0
Juan,Domínguez,747.7299999999999
Paola,Rangel,1312.64
Luis,Zayas,4025.1600000000003
Sandra,Figueroa,637.6800000000001
Asuri,Reyes,1122.0
Michel,Palazuelos,3742.2000000000003
Samuel,Lapuente,677.8
Yazmín,Alcaraz,532.27
Waldemar,Jasso,4830.72
Mariel,González,1802.4999999999998
Amador,Alatorre,949.74
Mabiret,Mercado,3532.05
Beatriz,Cervantes,6158.07
Alana,Gómez,82.16
Roberto,Ron,3398.64
Jose,Novelo,4426.0
Ana,Gutierrez,1878.5
Luis,Espinosa,3616.2
Paloma,Andrade,6200.31
Paloma,Crespo,986.6500000000001
Michel,Castañeda,273.51000000000005
Manuel,Lassala,5782.72
Christian,Mendez,1594.6
Adriana,Sánchez,1101.1000000000001
Martha,Cuevas,1714.1800000000003
Guillermo,Gutiérrez,509.0799999999999
Bárbara,Méndez,1358.77
Alan,Diosdado,1306.8000000000002
Julia,González,2240.7
Arturo,Romero,5391.36
Elizabeth,Tornel,3293.2799999999997
Mario,Ramos,1915.2
Juan,Saldaña,2819.06
Manuel,González,2715.7200000000003
Mario,Rodríguez,1143.42
Georgina,González,2718.9
Alan,Oropeza,1445.6
Carmen,Sánchez,2588.95
José,Ramos,1800.82
Nicolás,Ramos,3646.62
José,Pastor,4295.56
Francisco,González,7774.0
Diego,Salazar,1781.44
Eduardo,Wulfert,2445.25
Carmen,Eklemes,2487.9100000000003
Saúl,Contreras,1968.3
Armando,Hernández,1522.79
José,Guajardo,1603.8
Eduardo,Milanés,3689.9199999999996
Cinthya,Flores,4229.599999999999
Ana,Navarrete,1052.6499999999999
Carolina,Durán,5583.4800000000005
Saydel,Bueno,4233.91
José,Murguía,221.67000000000002
Palmira,Verduzco,228.8
Daniel,Saldivar,2098.7999999999997
Talía,Rodríguez,1759.6800000000003
Luis,Orozco,3404.11
Diego,Aguilar,1579.9199999999998
Sandra,Servin,7385.280000000001
Eduardo,Moreno,3429.69
Armida,Rosales,952.56
Francisco,Morante,4726.8
Adriana,Rubio,4820.2
Angélica,Sánchez,1208.02
Ricardo,Paz,1376.96
Hugo,Castro,813.0500000000001
Paulo,Solana,2666.62
Diego,Macías,4692.27
María,Oregel,2318.4
Juliana,Rodríguez,373.65
Hans,García,2688.12
Kristo,Tarabay,2155.17
Roberto,Valencia,2452.6800000000003
Melissa,Lee,2273.4
Marina,Chavarría,3591.3599999999997
Julián,González,86.24
Manuel,Ruiz,3365.4
José,Velázquez,5087.04
Javier,Rodríguez,6776.56
Karla,López,872.96
Roxana,Murillo,2591.9399999999996
Pamela,Gutiérrez,11.16
Sandra,Magaña,533.2
Javier,Villaseñor,1048.58
Juan,Mares,855.0000000000001
Omar,Estrada,1040.58
Alejandro,Muñoz,33.18
Carlos,González,4388.8
Mariel,González,549.72
Mariana,Rosas,1010.24
Juan,Soto,3598.8
Karla,Pedrero,967.44
Daniel,Cervantes,2625.15
Mariana,Moncada,920.8
Luis,Figueroa,3709.6200000000003
Benedicto,Oseguera,2997.63
Rogelio,Anguiano,2496.9
Cristóbal,Martín,214.2
Diego,Contreras,4370.5199999999995
José,Villarreal,832.49
Laby,Sánchez,4833.72
Sara,Prekop,54.72
Ji,Díaz,6630.77
María,Arizpe,348.90999999999997
Andrea,Orozco,3680.6000000000004
Arturo,Tapia,1858.9199999999998
Martha,Gutiérrez,1473.23
Ximena,Hernández,3222.0
Salvador,Ramírez,1182.3
Edgar,Pérez,1648.92
Erick,Franco,334.56
José,Godoy,5568.13
Martha,Navarro,6026.59
Arnoldo,Flores,1890.28
Maria,Morán,7699.5
Karen,Belmonte,6801.839999999999
César,Campos,2347.05
Luis,Arellano,1285.7
José,Pérez,1500.06
Ramón,Sotelo,2068.08
Stephanie,Segura,568.36
José,Ortega,2715.12
Paulina,Sánchez,4879.21
Karina,Medina,1351.98
Mario,Poiré,2297.6
Gemma,Hernández,4337.19
Héctor,Pelayo,193.04999999999998
Megan,Alonso,3652.3199999999997
Imelda,Piña,7875.69
Patricia,Zapién,1656.3600000000001
Laura,Pérez,3344.7400000000002
Gerardo,Murillo,3135.3599999999997
Aline,Quintero,2512.27
Luis,Ortega,505.2
Oziel,Villaseñor,318.99
Patricia,Baños,1100.1
Alejandra,Orozco,791.12
Andrea,Aguirre,3086.2000000000003
Agnes,Espinoza,6285.240000000001
Manuel,Avalos,755.5799999999999
José,Plascencia,5470.780000000001
Patricia,Ayala,769.8800000000001
Marco,Valencia,980.73
Karla,Díaz,8504.76
Oscar,Azpeytia,2203.54
Alejandro,Sáinz,2765.22
Lizette,Hernández,1901.23
Eduardo,Moreno,71.76
María,Gallardo,2969.32
Javier,Brown,70.5
Miguel,Barrera,7546.24
Lizette,Ríos,2301.12
Oliver,González,6541.92
Pedro,Jacobo,97.24
Tania,Alvarez,615.42
Fernando,Martínez,2396.1400000000003
Diego,Levy,2184.2799999999997
Alejandra,Amarillas,85.41
Adriana,Aguirre,1006.3000000000001
Edgar,Domenzain,2655.4
Christian,Cuevas,5082.900000000001
Nathalie,Pérez,1511.5
Oscar,Pérez,2266.88
José,Lassala,3952.81
Thalía,Fernández,7417.5
José,Bautista,285.84000000000003
Gustavo,Urzúa,2860.44
Martha,Delgado,6156.6
Delia,Chávez,7480.720000000001
Rosa,Calderón,6473.5
Karina,Topette,4955.5
Clementina,Salas,1119.0
Francisco,Castillo,2156.04
María,Hori,3498.96
Adriana,Franco,1236.24
Miguel,Durán,8322.16
Miguel,Chávez,224.16
Paulo,García,2059.79
Israel,Arroyo,7798.68
Maira,Viera,7854.03
Beatriz,Salazar,3509.0
Pamela,Gómez,3091.0
Jorge,Gómez,2585.1
Alma,Santana,1410.75
Juan,Buenrostro,231.83999999999997
Jorge,Diéguez,3374.75
Mayra,Garza,13.23
Carolina,Ortíz,1103.18
Jorge,García,412.0
Felipe,González,7707.619999999999
Carlos,González,11868.6
Jesús,Limón,1037.74
Luis,Maldonado,8924.85
Mitzi,Palomino,1362.42
José,Granados,3674.2200000000003
César,Vazquez,2189.94
Eric,Casillas,9171.84
Miguel,Sandoval,4690.62
Jorge,Olivares,4278.5599999999995
Violeta,Bueno,7141.8
Paulina,Orozco,2175.68
Viridiana,Arenas,1140.15
Elva,Lomeli,2056.8
Bernardo,García,3211.44
Tonatiuh,García,3202.92
Luis,Favela,3152.2000000000003
Mayumi,Fernández,363.2
Jaime,López,7030.179999999999
Romina,Villaseñor,215.22
Arturo,Gerber,14.520000000000001
Raúl,Cruz,1082.25
Fritchy,Fernández,3526.8399999999997
Francisco,Castillo,4332.38
José,Ramírez,1646.91
Esteban,Rivas,635.25
Pilar,Jacott,2356.54
Rogelio,Rivas,1478.83
Mario,Madrigal,835.28
Martha,Gomez,4979.25
Roxana,Lomelí,2291.52
Natalia,Enríquez,4795.7699999999995
Jorge,Otero,1776.8700000000001
Esmeralda,Saldaña,896.8000000000001
Paulina,García,1968.6000000000001
Pedro,Rodríguez,4706.099999999999
Carlos,Bernat,1301.8500000000001
Moisés,Rodríguez,3269.28
Juan,Avila,413.27
Mario,Soltero,9495.9
José,Abundis,960.0
José,García,1744.2
Jorge,Cruz,2838.4
Stephanie,Espinoza,873.25
Salvador,Martínez,3386.8799999999997
Melisa,Cardoso,401.21999999999997
Brenda,Jáuregui,4190.99
Karla,Loaiza,4351.860000000001
Alejandra,Gómez,1011.56
Jesús,Chalita,1066.38
Deisy,Cuevas,8087.07
Paola,Corona,1900.71
Antonio,Garay,984.2
Benjamín,Pérez,1875.0
Christian,Camarena,3726.9199999999996
Diego,León,1628.0
Germán,Mora,560.2800000000001
Luis,Larsen,6225.5
Efrain,Cordero,5395.04
Alejandra,González,1043.04
David,Carmona,2124.9
Guillermo,Robles,3233.9199999999996
Francisco,Anaya,1339.25
Maria,Villafuerte,1254.78
Cecilia,Navarro,2255.0
Pedro,Dávalos,2315.72
Diana,Luquin,1128.03
Georgina,Castro,442.88
Juan,Bulnes,2351.58
Ximena,Ezeta,2748.2400000000002
Nuria,Gutiérrez,1014.0
Alberto,Ayala,158.85
Amed,Hernández,1055.88
Marisol,Retamoza,3199.68
Ana,Kuroda,4432.64
Ana,Larsen,52.080000000000005
Daniela,González,5249.16
Myriam,Carlos,4802.039999999999
Victor,Medina,3592.0
Eduardo,Parra,869.73
Zayra,Martínez,2452.0
Linda,Dovalina,4488.0
Blanca,González,5333.76
Emilio,Chiu,1429.1999999999998
Rafael,Ceballos,4360.4400000000005
Karla,Moreno,3419.56
Ana,Peña,1223.46
Ana,Jiménez,5486.41
Maria,Padilla,4955.400000000001
Ricardo,Cuevas,1864.83
Pablo,Fregoso,4837.28
Fernando,García,912.56
Claudia,Ruiz,1312.3799999999999
Carlos,Padilla,3521.7
Ernesto,Barba,219.23999999999998
Sandra,Guerrero,4761.349999999999
Ignacio,Santana,5822.62
Tanya,Ramírez,4765.44
Mariana,Romero,8170.199999999999
Luz,Soriano,2747.4
Marisol,Jiménez,326.4
Jéssica,Monroy,1048.9
Nathalia,Casillas,183.04
Jonatan,Mercado,1952.2799999999997
Ramón,Mendoza,114.54
Aldo,Orozco,2829.4100000000003
Javier,Castro,2385.0
Paulina,Alonso,165.48000000000002
Rafael,Revilla,3359.9799999999996
Roberto,Wirz,3855.9
Alina,Vázquez,3443.2499999999995
Yolanda,Nomura,1742.2600000000002
Juan,Vizcarra,2289.3300000000004
Juan,Sahagún,1026.12
Marco,Siller,1039.3799999999999
Efrén,Gómez,904.86
Kenia,Monobe,943.8
Paulina,Amézquita,1532.3
Hugo,Peñúñuri,691.2
Francisco,Ayala,4916.06
Guillermo,Hashimoto,1410.5
Saúl,Jiménez,600.32
José,Soto,8152.56
Humberto,Rodríguez,466.83000000000004
Luis,Bojórquez,2087.71
Sofía,Hach,3055.5
Marisol,Heredia,2900.7999999999997
Lorenza,Calderón,3230.76
Viridiana,Ochoa,8280.65
Gabriela,Rodríguez,2229.46
Gustavo,Vizcarra,2908.2299999999996
Cristian,Aguilar,153.35999999999999
Alejandra,Montoya,322.92
Aldo,García,1756.9499999999998
Erick,Ramos,2068.92
Miguel,Pinto,3264.3
Alejandro,Angulo,1437.78
Andrea,García,4577.64
Carolina,Rodríguez,993.51
Ari,Soto,1617.8400000000001
María,Cervantes,7890.110000000001
Alejandro,Fernández,669.9399999999999
José,Ortega,767.36
Delia,Urías,293.93
Pamela,Robles,2047.6
María,Flores,1761.12
Miriam,Galindo,1624.35
Viridiana,Melis,526.5
Carolina,Ponce,680.68
José,García,1573.56
Luis,Olea,4684.66
Jesús,Velarde,3701.16
Carlos,Camargo,3143.0
Harumi,Navarro,500.15
Jorge,Gómez,4971.34
Sergio,García,507.76
Jideyoshi,López,8373.869999999999
Esteban,Ojeda,1577.4
Anna,Gámez,6846.12
Carlos,González,9350.79
María,Manzano,2209.35
Jorge,Vazquez,2590.1
Ricardo,Alvarez,2718.1
Claudia,Padron,154.18
Jesús,Castelo,3551.3399999999997
Iván,Palacio,6858.6
Arthemis,Barrón,189.20000000000002
Blanca,Lizárraga,1356.75
Junior,Moreno,2368.54
Rosa,Tatto,2005.08
Zohe,Inzunza,2786.5699999999997
Marisela,Garza,139.38
Gustavo,Hernández,5687.47
Georgina,Torrero,631.1999999999999
Mirela,Estrada,794.1700000000001
Ema,Ruisánchez,3516.4800000000005
Ricardo,Ley,3103.62
Fernando,Osuna,6938.64
Francisco,Mercado,3397.22
Jesús,Rivera,2110.95
José,Niebla,2250.4900000000002
Olga,Durazo,1557.0
Laura,González,3272.64
Deisy,Ballesteros,1204.2
Adriana,Pompa,1352.52
José,Alvarez,467.21999999999997
Yeshika,Roldan,1861.16
Jesús,Alvarez,292.32
Javier,Carlos,30.520000000000003
Odeth,Zavala,2365.0
Luis,Trillo,714.5
Dayanna,Herrera,1800.3999999999999
Alejandra,Pérez,2041.02
Juan,Aguilar,5571.38
Laila,Sandoval,1962.72
Adriana,Mora,530.56
Ely,Barajas,1580.88
Javier,Sades,5628.96
Javier,Rabinovitz,655.64
Marcelo,Zarkin,1699.36
Aarón,Barreto,4456.83
Carlos,Arias,2057.55
David,Pérez,3506.1600000000003
David,Rodríguez,2025.2500000000002
Pablo,Martínez,2695.14
Luz,Gómez,1506.75
Madhya,Flores,743.82
Julieta,Hurtado,5632.74
Enrique,Ruiz,1826.8500000000001
Nancy,Martínez,576.1800000000001
Juan,Tamez,5876.13
Jesús,Sandoval,1681.98
Gloria,Hurtado,3900.4800000000005
David,Nájera,6987.509999999999
Víctor,Arizmendi,1553.0400000000002
Erick,Martínez,3676.47
Wendy,Flores,34.3
Carlos,León,733.97
Juan,Sánchez,18.810000000000002
Andrea,Tamayo,3768.7
Alán,Centeno,1727.7599999999998
Mario,Toledo,799.6800000000001
Ana,Guerrero,891.75
José,Gámez,6211.379999999999
Jesus,Alvarez,4340.7
Alfonso,Romo,5036.07
José,Juárez,241.28
Alfredo,Torné,13.919999999999998
Juan,Castelán,972.8
Arturo,González,469.56
Jesús,Chávez,250.92
Ana,López,1150.45
Ian,Vela,3668.5200000000004
Sergio,Castillo,372.31
José,Cuevas,2534.48
Claudia,Ortiz,4805.929999999999
María,Castillo,8024.849999999999
Estrella,Medina,6820.240000000001
Isidoro,Ballesteros,1786.0
Roberto,Vázquez,1986.2400000000002
Alan,Guadarrama,3866.3999999999996
Joana,Rubio,6.0
