Nombre Paterno Hrs Pago
Ana Schermer 21 124.55
Dario Ayala 50 20.47
José Riquelme 34 37.86
Estefania Lópezvictoria 22 102.51
Kritzia Sol 21 2.28
Miguel Coello 52 22.59
Carlos Molina 23 164.97
Vanesa Penagos 50 128.26
Luis García 46 22.69
José Ahumada 34 109.27
Gerardo Arias 30 21.82
Rafael Heredia 24 46.19
Alejandra Chávez 49 81.09
Omar Arias 44 77.24
Francisco Ochoa 41 13.21
Jimena Calderón 46 15.80
Carlos Bucio 18 75.24
Diblaín Garcia 28 97.36
Andrés Cuahonte 32 90.87
Angel Hernández 34 137.45
Francisco López 17 21.38
Jorge Espinosa 53 98.27
Sergio Aguilar 52 73.07
Graciela Badillo 46 103.18
Arturo Ruiz 59 63.29
Paulina Roa 16 99.78
Sandra Martínez 18 140.22
Carolina Vaca 47 100.04
Javier Rioja 18 71.29
Omar Reyes 42 30.93
Iván Venegas 38 28.70
Erika Torres 52 173.85
Ana Ruiz 26 56.64
Fernando Barrios 27 35.39
Enrique Conde 52 33.44
Isabel García 35 100.13
Cecilia Flores 32 13.64
Alejandro Pérez 37 21.95
Luis Quintana 34 114.26
Daniel Orozco 28 21.74
Joel Dueñas 50 74.92
Miguel Estrella 45 60.10
Christopher Zavala 49 144.28
Ernesto Alcántara 21 79.01
Julio Ayala 60 37.76
Mireya Arceo 43 74.60
Luis Corona 19 144.80
Jorge Parra 60 97.07
Miriam Solis 38 16.45
Eduardo Ramos 42 72.66
José Pineda 58 41.80
César Méndez 60 127.13
Perla Zuñiga 17 112.79
Daniela Cedano 33 41.64
María Hermosillo 21 45.64
Joshua Wulfert 39 88.21
Juan López 24 65.91
Alberto Gómez 22 24.04
Luis Rodríguez 24 34.51
Guillermo Escobedo 21 71.84
Ana Figueroa 60 60.25
Bernardo López 45 94.89
Jessika García 26 17.97
Luis Pelayo 40 93.38
Adriana Muñoz 59 103.05
Edgardo Castellanos 46 20.75
David Ochoa 15 136.11
Juan Rangel 50 83.70
José Meli 51 6.41
Rodrigo González 55 42.03
Jorge Domínguez 57 35.92
Luis Hinrichsen 59 48.11
Irma Ramos 41 107.21
Heinrich Ruíz 26 52.54
Beatriz Manterola 51 112.36
Manuel Kessler 39 114.72
J. Pérez 32 128.90
Arturo Palacio 41 57.64
Luis Domínguez 49 82.91
Saúl Anaya 28 24.44
Bruno Lazcano 60 91.70
Alma Hernández 37 49.30
Omar Siordia 27 77.18
Lorenzo Romano 17 19.13
María Mariscal 50 153.99
Irma Arrizón 42 1.73
Marco García 35 81.85
Salvatore Guerra 56 142.93
Víctor González 18 34.66
Luis Chayeb 53 61.99
Héctor Rentería 52 78.99
Santiago Obregón 33 119.69
Stefanie Soto 34 46.61
Andrés Balmori 44 66.01
Moisés Gómez 24 62.94
Diana Morales 58 63.10
Brenda Lara 35 53.87
Ana Zavala 38 6.15
Priscila Romero 57 104.10
Anna Ybarra 29 77.30
Christian Inzunza 31 78.10
Israel Arriola 47 42.92
Jorge Castorena 42 18.74
Diego Cortes 34 57.35
Yvette Ibarra 22 60.13
Karla Arias 60 121.27
Hanz Chávez 59 101.35
Victoria Serur 33 56.44
Víctor García 43 106.13
Elsa Lomelí 44 66.13
Fernanda Estrada 60 28.33
Alejandra Olvera 21 86.18
Karim Monroy 42 24.61
Florentino López 43 35.72
Gabriel Aldrete 48 20.36
José González 19 57.34
Jose Jacobo 32 41.00
Héctor Quevedo 36 46.90
Joaquín Becerril 55 39.19
Fernando Palomera 25 71.33
Joyce Lepe 35 133.87
José Pelayo 43 16.64
Jorge Mercado 37 54.34
Zabdy Alvarez 52 130.37
Roberto Baruqui 21 60.64
Arturo Amezcua 18 2.66
Samuel Mendoza 26 101.81
Jorge Zurita 58 33.67
Damaris Fuenzalida 43 8.59
Ricardo Reyes 21 15.86
Ricardo Mercado 35 25.23
Raúl Lizárraga 24 53.58
Diego García 20 89.78
Paula Molina 24 81.88
Diego Hurtado 16 107.63
Andrea Curzio 40 11.95
Juan Domínguez 23 32.51
Paola Rangel 32 41.02
Luis Zayas 54 74.54
Sandra Figueroa 24 26.57
Asuri Reyes 40 28.05
Michel Palazuelos 55 68.04
Samuel Lapuente 20 33.89
Yazmín Alcaraz 17 31.31
Waldemar Jasso 51 94.72
Mariel González 25 72.10
Amador Alatorre 22 43.17
Mabiret Mercado 47 75.15
Beatriz Cervantes 53 116.19
Alana Gómez 26 3.16
Roberto Ron 28 121.38
Jose Novelo 50 88.52
Ana Gutierrez 34 55.25
Luis Espinosa 20 180.81
Paloma Andrade 59 105.09
Paloma Crespo 35 28.19
Michel Castañeda 27 10.13
Manuel Lassala 32 180.71
Christian Mendez 34 46.90
Adriana Sánchez 26 42.35
Martha Cuevas 26 65.93
Guillermo Gutiérrez 26 19.58
Bárbara Méndez 59 23.03
Alan Diosdado 60 21.78
Julia González 35 64.02
Arturo Romero 48 112.32
Elizabeth Tornel 24 137.22
Mario Ramos 60 31.92
Juan Saldaña 47 59.98
Manuel González 53 51.24
Mario Rodríguez 34 33.63
Georgina González 18 151.05
Alan Oropeza 16 90.35
Carmen Sánchez 35 73.97
José Ramos 19 94.78
Nicolás Ramos 54 67.53
José Pastor 34 126.34
Francisco González 52 149.50
Diego Salazar 32 55.67
Eduardo Wulfert 25 97.81
Carmen Eklemes 29 85.79
Saúl Contreras 18 109.35
Armando Hernández 29 52.51
José Guajardo 55 29.16
Eduardo Milanés 26 141.92
Cinthya Flores 40 105.74
Ana Navarrete 37 28.45
Carolina Durán 51 109.48
Saydel Bueno 37 114.43
José Murguía 27 8.21
Palmira Verduzco 22 10.40
Daniel Saldivar 60 34.98
Talía Rodríguez 52 33.84
Luis Orozco 31 109.81
Diego Aguilar 29 54.48
Sandra Servin 48 153.86
Eduardo Moreno 57 60.17
Armida Rosales 21 45.36
Francisco Morante 45 105.04
Adriana Rubio 44 109.55
Angélica Sánchez 22 54.91
Ricardo Paz 26 52.96
Hugo Castro 35 23.23
Paulo Solana 22 121.21
Diego Macías 59 79.53
María Oregel 32 72.45
Juliana Rodríguez 53 7.05
Hans García 18 149.34
Kristo Tarabay 19 113.43
Roberto Valencia 54 45.42
Melissa Lee 18 126.30
Marina Chavarría 43 83.52
Julián González 22 3.92
Manuel Ruiz 60 56.09
José Velázquez 48 105.98
Javier Rodríguez 56 121.01
Karla López 32 27.28
Roxana Murillo 39 66.46
Pamela Gutiérrez 31 0.36
Sandra Magaña 20 26.66
Javier Villaseñor 26 40.33
Juan Mares 25 34.20
Omar Estrada 27 38.54
Alejandro Muñoz 42 0.79
Carlos González 40 109.72
Mariel González 36 15.27
Mariana Rosas 56 18.04
Juan Soto 40 89.97
Karla Pedrero 24 40.31
Daniel Cervantes 33 79.55
Mariana Moncada 40 23.02
Luis Figueroa 37 100.26
Benedicto Oseguera 57 52.59
Rogelio Anguiano 42 59.45
Cristóbal Martín 21 10.20
Diego Contreras 44 99.33
José Villarreal 59 14.11
Laby Sánchez 58 83.34
Sara Prekop 38 1.44
Ji Díaz 37 179.21
María Arizpe 41 8.51
Andrea Orozco 22 167.30
Arturo Tapia 21 88.52
Martha Gutiérrez 59 24.97
Ximena Hernández 36 89.50
Salvador Ramírez 30 39.41
Edgar Pérez 39 42.28
Erick Franco 41 8.16
José Godoy 37 150.49
Martha Navarro 41 146.99
Arnoldo Flores 43 43.96
Maria Morán 45 171.10
Karen Belmonte 54 125.96
César Campos 15 156.47
Luis Arellano 43 29.90
José Pérez 23 65.22
Ramón Sotelo 24 86.17
Stephanie Segura 52 10.93
José Ortega 24 113.13
Paulina Sánchez 43 113.47
Karina Medina 18 75.11
Mario Poiré 40 57.44
Gemma Hernández 39 111.21
Héctor Pelayo 55 3.51
Megan Alonso 42 86.96
Imelda Piña 57 138.17
Patricia Zapién 43 38.52
Laura Pérez 49 68.26
Gerardo Murillo 23 136.32
Aline Quintero 29 86.63
Luis Ortega 15 33.68
Oziel Villaseñor 49 6.51
Patricia Baños 19 57.90
Alejandra Orozco 22 35.96
Andrea Aguirre 26 118.70
Agnes Espinoza 34 184.86
Manuel Avalos 42 17.99
José Plascencia 46 118.93
Patricia Ayala 19 40.52
Marco Valencia 51 19.23
Karla Díaz 44 193.29
Oscar Azpeytia 34 64.81
Alejandro Sáinz 51 54.22
Lizette Hernández 31 61.33
Eduardo Moreno 24 2.99
María Gallardo 38 78.14
Javier Brown 47 1.50
Miguel Barrera 52 145.12
Lizette Ríos 47 48.96
Oliver González 48 136.29
Pedro Jacobo 17 5.72
Tania Alvarez 39 15.78
Fernando Martínez 46 52.09
Diego Levy 58 37.66
Alejandra Amarillas 39 2.19
Adriana Aguirre 58 17.35
Edgar Domenzain 20 132.77
Christian Cuevas 30 169.43
Nathalie Pérez 50 30.23
Oscar Pérez 46 49.28
José Lassala 41 96.41
Thalía Fernández 43 172.50
José Bautista 36 7.94
Gustavo Urzúa 44 65.01
Martha Delgado 60 102.61
Delia Chávez 52 143.86
Rosa Calderón 50 129.47
Karina Topette 34 145.75
Clementina Salas 30 37.30
Francisco Castillo 18 119.78
María Hori 24 145.79
Adriana Franco 34 36.36
Miguel Durán 56 148.61
Miguel Chávez 48 4.67
Paulo García 19 108.41
Israel Arroyo 58 134.46
Maira Viera 57 137.79
Beatriz Salazar 44 79.75
Pamela Gómez 25 123.64
Jorge Gómez 42 61.55
Alma Santana 33 42.75
Juan Buenrostro 28 8.28
Jorge Diéguez 25 134.99
Mayra Garza 21 0.63
Carolina Ortíz 26 42.43
Jorge García 40 10.30
Felipe González 58 132.89
Carlos González 60 197.81
Jesús Limón 22 47.17
Luis Maldonado 45 198.33
Mitzi Palomino 27 50.46
José Granados 33 111.34
César Vazquez 51 42.94
Eric Casillas 51 179.84
Miguel Sandoval 33 142.14
Jorge Olivares 44 97.24
Violeta Bueno 60 119.03
Paulina Orozco 32 67.99
Viridiana Arenas 55 20.73
Elva Lomeli 24 85.70
Bernardo García 24 133.81
Tonatiuh García 28 114.39
Luis Favela 20 157.61
Mayumi Fernández 16 22.70
Jaime López 58 121.21
Romina Villaseñor 34 6.33
Arturo Gerber 22 0.66
Raúl Cruz 25 43.29
Fritchy Fernández 37 95.32
Francisco Castillo 38 114.01
José Ramírez 29 56.79
Esteban Rivas 33 19.25
Pilar Jacott 58 40.63
Rogelio Rivas 17 86.99
Mario Madrigal 53 15.76
Martha Gomez 45 110.65
Roxana Lomelí 21 109.12
Natalia Enríquez 41 116.97
Jorge Otero 27 65.81
Esmeralda Saldaña 20 44.84
Paulina García 20 98.43
Pedro Rodríguez 42 112.05
Carlos Bernat 15 86.79
Moisés Rodríguez 28 116.76
Juan Avila 17 24.31
Mario Soltero 54 175.85
José Abundis 40 24.00
José García 60 29.07
Jorge Cruz 32 88.70
Stephanie Espinoza 35 24.95
Salvador Martínez 56 60.48
Melisa Cardoso 18 22.29
Brenda Jáuregui 47 89.17
Karla Loaiza 27 161.18
Alejandra Gómez 22 45.98
Jesús Chalita 21 50.78
Deisy Cuevas 51 158.57
Paola Corona 49 38.79
Antonio Garay 35 28.12
Benjamín Pérez 30 62.50
Christian Camarena 46 81.02
Diego León 55 29.60
Germán Mora 28 20.01
Luis Larsen 50 124.51
Efrain Cordero 56 96.34
Alejandra González 48 21.73
David Carmona 54 39.35
Guillermo Robles 31 104.32
Francisco Anaya 25 53.57
Maria Villafuerte 18 69.71
Cecilia Navarro 20 112.75
Pedro Dávalos 19 121.88
Diana Luquin 19 59.37
Georgina Castro 16 27.68
Juan Bulnes 21 111.98
Ximena Ezeta 33 83.28
Nuria Gutiérrez 40 25.35
Alberto Ayala 45 3.53
Amed Hernández 21 50.28
Marisol Retamoza 44 72.72
Ana Kuroda 32 138.52
Ana Larsen 56 0.93
Daniela González 42 124.98
Myriam Carlos 36 133.39
Victor Medina 50 71.84
Eduardo Parra 53 16.41
Zayra Martínez 25 98.08
Linda Dovalina 40 112.20
Blanca González 48 111.12
Emilio Chiu 40 35.73
Rafael Ceballos 58 75.18
Karla Moreno 53 64.52
Ana Peña 42 29.13
Ana Jiménez 59 92.99
Maria Padilla 45 110.12
Ricardo Cuevas 33 56.51
Pablo Fregoso 56 86.38
Fernando García 34 26.84
Claudia Ruiz 18 72.91
Carlos Padilla 39 90.30
Ernesto Barba 42 5.22
Sandra Guerrero 55 86.57
Ignacio Santana 58 100.39
Tanya Ramírez 34 140.16
Mariana Romero 60 136.17
Luz Soriano 57 48.20
Marisol Jiménez 40 8.16
Jéssica Monroy 17 61.70
Nathalia Casillas 52 3.52
Jonatan Mercado 58 33.66
Ramón Mendoza 23 4.98
Aldo Orozco 41 69.01
Javier Castro 53 45.00
Paulina Alonso 28 5.91
Rafael Revilla 26 129.23
Roberto Wirz 30 128.53
Alina Vázquez 25 137.73
Yolanda Nomura 26 67.01
Juan Vizcarra 27 84.79
Juan Sahagún 17 60.36
Marco Siller 51 20.38
Efrén Gómez 22 41.13
Kenia Monobe 22 42.90
Paulina Amézquita 55 27.86
Hugo Peñúñuri 24 28.80
Francisco Ayala 38 129.37
Guillermo Hashimoto 26 54.25
Saúl Jiménez 56 10.72
José Soto 52 156.78
Humberto Rodríguez 39 11.97
Luis Bojórquez 29 71.99
Sofía Hach 50 61.11
Marisol Heredia 35 82.88
Lorenza Calderón 52 62.13
Viridiana Ochoa 59 140.35
Gabriela Rodríguez 19 117.34
Gustavo Vizcarra 39 74.57
Cristian Aguilar 24 6.39
Alejandra Montoya 27 11.96
Aldo García 39 45.05
Erick Ramos 21 98.52
Miguel Pinto 54 60.45
Alejandro Angulo 31 46.38
Andrea García 37 123.72
Carolina Rodríguez 21 47.31
Ari Soto 54 29.96
María Cervantes 53 148.87
Alejandro Fernández 41 16.34
José Ortega 16 47.96
Delia Urías 19 15.47
Pamela Robles 20 102.38
María Flores 48 36.69
Miriam Galindo 39 41.65
Viridiana Melis 45 11.70
Carolina Ponce 26 26.18
José García 31 50.76
Luis Olea 29 161.54
Jesús Velarde 46 80.46
Carlos Camargo 50 62.86
Harumi Navarro 35 14.29
Jorge Gómez 59 84.26
Sergio García 22 23.08
Jideyoshi López 57 146.91
Esteban Ojeda 55 28.68
Anna Gámez 54 126.78
Carlos González 53 176.43
María Manzano 55 40.17
Jorge Vazquez 59 43.90
Ricardo Alvarez 22 123.55
Claudia Padron 26 5.93
Jesús Castelo 29 122.46
Iván Palacio 42 163.30
Arthemis Barrón 20 9.46
Blanca Lizárraga 15 90.45
Junior Moreno 38 62.33
Rosa Tatto 28 71.61
Zohe Inzunza 59 47.23
Marisela Garza 23 6.06
Gustavo Hernández 47 121.01
Georgina Torrero 60 10.52
Mirela Estrada 41 19.37
Ema Ruisánchez 48 73.26
Ricardo Ley 39 79.58
Fernando Osuna 46 150.84
Francisco Mercado 59 57.58
Jesús Rivera 45 46.91
José Niebla 41 54.89
Olga Durazo 25 62.28
Laura González 32 102.27
Deisy Ballesteros 54 22.30
Adriana Pompa 52 26.01
José Alvarez 26 17.97
Yeshika Roldan 46 40.46
Jesús Alvarez 24 12.18
Javier Carlos 28 1.09
Odeth Zavala 22 107.50
Luis Trillo 25 28.58
Dayanna Herrera 35 51.44
Alejandra Pérez 34 60.03
Juan Aguilar 47 118.54
Laila Sandoval 24 81.78
Adriana Mora 16 33.16
Ely Barajas 28 56.46
Javier Sades 54 104.24
Javier Rabinovitz 37 17.72
Marcelo Zarkin 52 32.68
Aarón Barreto 57 78.19
Carlos Arias 33 62.35
David Pérez 42 83.48
David Rodríguez 25 81.01
Pablo Martínez 54 49.91
Luz Gómez 15 100.45
Madhya Flores 21 35.42
Julieta Hurtado 57 98.82
Enrique Ruiz 15 121.79
Nancy Martínez 22 26.19
Juan Tamez 57 103.09
Jesús Sandoval 34 49.47
Gloria Hurtado 48 81.26
David Nájera 51 137.01
Víctor Arizmendi 54 28.76
Erick Martínez 21 175.07
Wendy Flores 49 0.70
Carlos León 19 38.63
Juan Sánchez 57 0.33
Andrea Tamayo 26 144.95
Alán Centeno 24 71.99
Mario Toledo 24 33.32
Ana Guerrero 41 21.75
José Gámez 42 147.89
Jesus Alvarez 42 103.35
Alfonso Romo 39 129.13
José Juárez 58 4.16
Alfredo Torné 48 0.29
Juan Castelán 32 30.40
Arturo González 21 22.36
Jesús Chávez 18 13.94
Ana López 19 60.55
Ian Vela 38 96.54
Sergio Castillo 31 12.01
José Cuevas 26 97.48
Claudia Ortiz 37 129.89
María Castillo 51 157.35
Estrella Medina 56 121.79
Isidoro Ballesteros 38 47.00
Roberto Vázquez 24 82.76
Alan Guadarrama 54 71.60
Joana Rubio 50 0.12
Chantal Chávez 15 56.77
Ana Santoyo 52 122.86
Diego Parra 45 12.74
Grecia Sigie 50 89.41
Diana Rivera 40 119.95
Patricia Almeida 30 16.30
Zoila Vásquez 40 55.87
Norma Gaitán 16 82.09
Jaime Ledezma 26 44.43
Sandra Aranda 32 39.59
Esmeralda Casillas 21 65.24
Alicia Dávalos 41 55.64
Diana Parra 19 2.96
Jaqueline Medina 18 88.65
Norma Rubio 46 34.90
Jesús Guerrero 24 15.68
Hans Quiñones 21 17.75
Marisol Muñoz 23 72.70
Rubicela Cobos 56 3.40
Javier Pérez 27 112.28
María García 24 30.96
Jesús Juárez 44 6.61
Lourdes Orozco 60 67.09
María Martínez 52 38.56
Leonardo Reyes 59 87.11
Norma Guízar 58 93.28
Alan Vargas 27 83.34
Elsa Cabrales 18 19.63
Francisco Hernández 30 43.09
Selene Lozano 23 51.44
Nadia Rueda 35 43.42
Leslie Anaya 22 121.57
Ana Padilla 30 21.35
Raquel Monteón 44 77.04
Silvia Davila 27 92.00
Guillermina Martínez 31 59.48
Carlos Valenzuela 32 85.93
Karla Guerrero 41 109.25
Catalina Paéz 57 7.33
Karla Moncayo 37 180.34
Cristian Chavez 60 128.73
José López 24 13.66
José Salcedo 55 35.06
Armando Gloria 54 190.41
Ana Canales 24 27.12
Natalia Sánchez 44 163.86
Ana González 29 23.22
Sarahy Gutiérrez 56 6.14
Mónica Ritschard 59 116.11
